N, beta, avg_energy, std_energy, avg_mag, std_mag, tot_time, num_threads
5696, 0.500000, -110663277.016000, 902423.626916, 0.022056, 0.008189, 271.934723, 8
8000, 0.500000, -217878147.144000, 1704092.008265, 0.013781, 0.004861, 531.720284, 8
11328, 0.500000, -437271148.904000, 3525354.427171, -0.001751, 0.001088, 1073.408240, 8
1024, 0.500000, -3563073.064000, 29516.703391, 0.067974, 0.021135, 4.744101, 16
1472, 0.500000, -7370313.024000, 57984.020050, -0.078368, 0.030204, 9.777904, 16
2048, 0.500000, -14271812.288000, 119186.620578, -0.062068, 0.013700, 18.975288, 16
2880, 0.500000, -28227653.544000, 218990.514738, -0.028943, 0.006822, 37.636271, 16
4032, 0.500000, -55373625.488000, 445663.425011, -0.021144, 0.002037, 67.282375, 16
5696, 0.500000, -110574354.160000, 884801.428213, 0.001468, 0.002829, 131.045621, 16
8000, 0.500000, -217913326.288000, 1694924.705140, -0.000423, 0.001058, 286.711743, 16
11328, 0.500000, -437149290.224000, 3549080.843241, -0.013515, 0.002143, 572.982678, 16
1024, 0.500000, -3562946.288000, 28585.491713, -0.028065, 0.016048, 3.140515, 32
1472, 0.500000, -7371905.280000, 54838.198803, 0.029830, 0.013356, 6.086485, 32
2048, 0.500000, -14253250.232000, 117640.261702, 0.008706, 0.010367, 11.176424, 32
2880, 0.500000, -28207391.648000, 218854.174073, 0.001919, 0.003695, 22.570464, 32
4032, 0.500000, -55356290.288000, 436989.295413, -0.006644, 0.001877, 42.506083, 32
5696, 0.500000, -110537230.096000, 890798.755563, -0.008181, 0.002732, 86.656539, 32
8000, 0.500000, -217905354.824000, 1678589.190125, 0.001414, 0.001607, 166.566252, 32
11328, 0.500000, -437121044.568000, 3515942.784738, -0.001022, 0.000863, 330.781972, 32
1024, 0.500000, -3566894.584000, 26897.877455, -0.111073, 0.047583, 2.458334, 64
1472, 0.500000, -7356042.592000, 56357.448567, 0.008737, 0.007105, 4.589415, 64
2048, 0.500000, -14249235.600000, 109700.888296, 0.002149, 0.006898, 8.739490, 64
2880, 0.500000, -28214604.552000, 209927.809800, 0.006792, 0.002620, 16.916385, 64
4032, 0.500000, -55354422.624000, 427175.400308, 0.009541, 0.002607, 32.672606, 64
5696, 0.500000, -110537290.864000, 877524.538845, 0.023609, 0.005092, 64.053126, 64
8000, 0.500000, -217842846.496000, 1678666.290902, 0.005499, 0.002843, 124.087130, 64
11328, 0.500000, -437025324.120000, 3452989.828967, 0.004916, 0.001461, 245.675946, 64
1024, 0.500000, -3566507.064000, 30888.386669, 0.049885, 0.021065, 45.268529, 2
1472, 0.500000, -7380991.176000, 58651.216075, -0.048000, 0.020805, 93.350319, 2
2048, 0.500000, -14282181.232000, 115967.117945, -0.008749, 0.004287, 182.627838, 2
2880, 0.500000, -28274516.240000, 229436.516682, -0.006996, 0.008145, 358.143673, 2
4032, 0.500000, -55398648.256000, 451302.594351, -0.008904, 0.002123, 704.005896, 2
5696, 0.500000, -110629642.064000, 894186.026869, -0.009670, 0.001451, 1405.039877, 2
8000, 0.500000, -217838035.096000, 1651296.780408, -0.009031, 0.001997, 2779.368460, 2
11328, 0.500000, -437253479.352000, 3551654.478674, -0.008205, 0.001418, 5580.306763, 2
1024, 0.500000, -3560770.072000, 28671.994188, 0.173868, 0.058831, 14.800071, 4
1472, 0.500000, -7365824.216000, 57376.435595, -0.020226, 0.013166, 29.436656, 4
2048, 0.500000, -14268797.928000, 112195.159161, -0.076107, 0.023286, 56.898699, 4
2880, 0.500000, -28245913.712000, 226715.122271, 0.001994, 0.004328, 117.009376, 4
4032, 0.500000, -55419486.712000, 440894.810520, -0.006354, 0.001068, 236.898234, 4
5696, 0.500000, -110581736.552000, 888723.518270, -0.002242, 0.000758, 478.025232, 4
8000, 0.500000, -217933858.592000, 1659134.901195, -0.003921, 0.001690, 874.306596, 4
11328, 0.500000, -437224923.312000, 3565017.002490, -0.002557, 0.000718, 1937.859627, 4
1024, 0.500000, -3566992.560000, 29870.168991, -0.029983, 0.010787, 7.960736, 8
1472, 0.500000, -7367188.520000, 57025.078651, 0.052922, 0.007648, 15.665428, 8
2048, 0.500000, -14283422.032000, 120736.067427, -0.061073, 0.019603, 29.618449, 8
2880, 0.500000, -28239192.424000, 222365.718164, -0.002738, 0.007279, 64.081479, 8
4032, 0.500000, -55423924.840000, 444723.427095, -0.021790, 0.006483, 132.300067, 8
5696, 0.500000, -110663277.016000, 902423.626916, 0.022056, 0.008189, 262.370310, 8
8000, 0.500000, -217878147.144000, 1704092.008265, 0.013781, 0.004861, 519.055668, 8
11328, 0.500000, -437271148.904000, 3525354.427171, -0.001751, 0.001088, 1033.818041, 8
1024, 0.500000, -3563073.064000, 29516.703391, 0.067974, 0.021135, 4.169925, 16
1472, 0.500000, -7370313.024000, 57984.020050, -0.078368, 0.030204, 8.478829, 16
2048, 0.500000, -14271812.288000, 119186.620578, -0.062068, 0.013700, 17.513138, 16
2880, 0.500000, -28227653.544000, 218990.514738, -0.028943, 0.006822, 33.308650, 16
4032, 0.500000, -55373625.488000, 445663.425011, -0.021144, 0.002037, 64.292280, 16
5696, 0.500000, -110574354.160000, 884801.428213, 0.001468, 0.002829, 132.264464, 16
8000, 0.500000, -217913326.288000, 1694924.705140, -0.000423, 0.001058, 278.042276, 16
11328, 0.500000, -437149290.224000, 3549080.843241, -0.013515, 0.002143, 557.874517, 16
